,Alay,KBBI
719,tmen,teman
720,ats,atas
721,donk,dong
722,heii,hai
723,diputusin,diputuskan
724,pcrnya,pacarnya
725,mnjual,menjual
726,ngadain,mengadakan
727,kkak,kakak
728,rekomendasiin,merekomendasikan
729,sihhh,sih
730,cooocok,cocok
731,mrip,mirip
732,mama.nyy,mamanya
733,bosenin,membosankan
734,bukn,bukan
735,sey,sih
736,cantikkk,cantik
737,banger,banget
738,kaa,kak
739,eakyu,waktu
740,cntik,cantik
741,kakanya,kakaknya
742,doeloe,dulu
743,cantikkkk,cantik
744,bngtt,banget
745,iyak,iya
746,malh,malah
747,mlah,malah
748,ngak,enggak
749,laki2,laki-laki
750,gag,enggak
751,fhotonya,fotonya
752,bleh,boleh
753,brp,berapa
754,tnggl,tanggal
755,tanteny,tantenya
756,ky,kaya
757,sklinyaa,sekalinya
758,ayoo,ayo
759,dramaa,drama
760,niiih,nih
761,bisaa,bisa
762,lha,lah
763,dunk,dong
764,lihaat,lihat
765,yuwkkk,yuk
766,nnti,nanti
767,editannn,editan
768,thu,tuh
769,mai,mau
770,kamuu,kamu
771,pastii,pasti
772,bisaaa,bisa
773,kejuu,keju
774,kereen,keren
775,nama.a,namanya
776,kmauan,kemauan
777,ahhhh,ah
778,yuuuuk,yuk
779,dmana,dimana
780,disiniii,disini
781,cobaa,coba
782,bayangin,bayangkan
783,yaudh,ya sudah
784,dl,dulu
785,ajaaa,saja
786,tuhhh,tuh
787,amploppp,amplop
788,mo,mau
789,sayangg'',sayang-sayang
790,nantii,nanti
791,aminnnnn,amin
792,gakuat,enggak kuat
793,yukkkk,yuk
794,nged,banget
795,nantik,nanti
796,ksitu,kesitu
797,bangeett,banget
798,liad,lihat
799,kluarga,keluarga
800,biasahhh,biasa
801,tutorialx,tutorialnya
802,dpke,dipakai
803,fhoto,foto
804,kerenn,keren
805,binggo,banget
806,rekomndd,rekomendasi
807,bli2n,beli-belikan
808,bwt,buat
809,wado,waduh
810,guaa,gua
811,yaakkk,ya
812,bangetttttyt,banget
813,bangettttt,banget
814,bangg,bang
815,kangeeeeeeeeennnnnnnn,kangen
816,kaliannnnnn,kalian
817,rinduuuuuuuuuu,rindu
818,kangennnnnmnnnnnnnnnnnnnnnnn,kangen
819,kaliannnnnm,kalian
820,kangeeeeeeeeeeennnnn,kangen
821,kangennnnnnnnnnnnnnnn,kangen
822,kangennn,kangen
823,kaliannnnnnn,kalian
824,th2,tahun-tahun
825,smpt,sempat
826,blg,bilang
827,trserah,terserah
828,ad,ada
829,prnah,pernah
830,wlwpun,walaupun
831,trpsah,terpisah
832,mmg,memang
833,prsatukn,persatukan
834,slh,salah
835,ngomng,mengomong
836,mdh2an,mudah-mudahan
837,sm,sama
838,skedar,sekadar
839,kangeeerrn,kangen
840,pulak,pula
841,terrrrbaik,terbaik
842,jorookknya,joroknya
843,ihhhhh,ih
844,padahall,padahal
845,jorokkkk,jorok
846,mualll,mual
847,klow,kalau
848,muke,muka
849,taiiii,tahi
850,seneeeeeng,senang
851,nyesel,menyesal
852,besarin,membesarkan
853,tanyang,tayang
854,ber2,berdua
855,ngelarang,melarang
856,kerreeen,keren
857,pantess,pantas
858,bngettt,banget
859,baperr,bawa perasaan
860,sudh,sudah
861,sbr,sabar
862,pngen,pengin
863,ht,hati
864,pemainy,pemainnya
865,aqu,aku
866,ngeliat,melihat
867,baper,bawa perasaan
868,akn,akan
869,nyampe,sampai
870,kbawa,terbawa
871,bradegan,beradegan
872,amiiinnnn,amin
873,mlm,malam
874,nikahin,menikahi
875,hadeuh,aduh
876,nyambung,menyambung
877,liyat,lihat
878,krn,karena
879,sk,suka
880,adengan,adegan
881,engga,enggak
882,bingit,banget
883,dapetin,mendapati
884,model2,model-model
885,sitayngin,ditayangkan
886,cocokkk,cocok
887,mahhhh,mah
888,cocokny,cocoknya
889,iniw,ini
890,setju,setuju
891,bnern,benaran
892,pcrn,pacaran
893,klian,kalian
894,cocokkkk,cocok
895,bngett,banget
896,abes,habis
897,br,baru
898,mksdny,maksudnya
899,brpa,berapa
900,ihh,ih
901,kesampean,kesampaian
902,beginiiii,begini
903,ntr,entar
904,beliin,membelikan
905,kya,kaya
906,keq,kek
907,ngerasa,merasa
908,sygkuu,sayangku
909,ngeselin,mengesalkan
910,baju'a,bajunya
911,gara'',gara-gara
912,teruss,terus
913,pokok'a,pokoknya
914,bg,bang
915,ubur2,ubur-ubur
916,kuyy,yuk
917,bentarr,bentar
918,dureen,duren
919,ajibb,ajib
920,mahall,mahal
921,yukk,yuk
